1,0,0,0,0
0,3,29,0,0
0,0,29,0,0
1,0,0,0,0
1,0,10,0,0
0,0,15,0,0
1,0,10,0,0
0,0,27,0,222
0,3,18,-7,222
1,0,10,0,90
0,0,42,13,222
1,0,10,0,0
0,0,20,-6,21
1,3,10,0,0
1,0,10,0,0
1,0,10,0,0
0,3,67,11,21
0,0,66,11,21
1,0,10,0,270
1,0,10,-5,270
1,3,10,-12,270
0,0,66,10,21
1,0,10,-12,270
1,3,10,-12,270
0,0,67,14,79
1,0,10,0,270
0,0,66,13,79
0,0,66,12,79
0,0,68,22,79
1,0,10,8,270
0,0,68,23,79
1,0,10,-10,156
1,3,-3,-4,156
0,0,68,22,349
1,0,-2,-4,156
0,0,68,22,259
0,0,68,22,259
1,0,-2,-4,50
1,3,6,5,50
0,0,64,2,259
0,0,64,2,259
1,0,5,4,50
1,0,5,4,50
0,0,64,2,169
1,0,12,12,50
1,0,12,12,50
0,0,64,2,79
0,0,64,2,79
1,0,12,12,320
1,0,12,12,320
0,0,68,20,79
0,3,68,21,79
0,0,68,21,79
1,0,28,0,320
1,0,28,-1,320
0,0,68,21,169
1,0,30,2,230
0,0,68,21,169
0,0,67,21,169
0,3,64,22,169
1,0,28,0,230
0,0,64,22,79
0,3,64,22,79
0,0,64,22,79
1,0,28,0,140
1,0,28,0,140
0,0,61,22,349
1,0,13,11,140
0,0,64,22,349
1,3,2,20,140
0,0,89,17,349
1,0,2,20,253
1,3,-2,4,253
0,0,105,22,79
1,0,-2,3,102
0,0,106,25,79
1,3,-4,12,102
0,0,106,25,79
1,0,-32,22,340
0,0,106,25,79
1,0,16,4,340
0,0,108,35,79
0,0,109,35,349
1,3,82,-19,340
1,0,81,-22,72
0,0,109,41,79
1,0,88,-1,72
0,0,110,45,79
0,0,110,45,169
1,0,88,-1,72
1,0,88,0,72
1,0,91,8,72
0,0,110,46,79
0,0,110,45,79
1,0,91,8,72
0,0,112,56,79
0,0,112,57,79
1,0,91,8,342
1,0,91,8,342
0,0,112,56,349
1,0,110,1,342
0,0,116,55,349
0,0,132,52,349
1,0,108,-6,252
1,0,110,1,252
0,0,133,53,259
1,0,106,-12,252
1,0,101,-27,252
0,0,132,52,259
1,0,101,-27,162
0,0,134,61,79
0,0,132,52,79
1,0,101,-27,72
1,0,101,-27,72
0,0,138,82,79
1,0,113,11,72
1,0,113,11,72
0,3,145,120,79
0,0,149,112,112
1,0,113,11,342
0,0,137,142,112
1,0,113,11,252
0,3,128,164,112
1,0,112,8,252
0,0,125,158,239
1,0,98,-36,252
0,3,118,148,239
1,0,98,-37,252
0,0,141,136,150
1,0,98,-36,162
1,0,98,-36,162
0,0,83,169,150
0,3,75,174,150
1,3,51,-21,162
1,0,52,-22,162
0,0,80,163,291
